menu,day,foodtype,language,location,source,price
Tandoori Chicken Masala mit Reis (gluten- und laktosefrei),1,Meat,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Gebräunte Hühnerbrust mit Champignonsauce und Reis,2,Meat,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Thai Kokos Panang Chicken Curry mit Reis (gluten- und laktosefrei),3,Meat,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Butter Chicken Masala mit Reis (gluten- und laktosefrei),4,Meat,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Gebackenes Schollenfilet mit Petersilienkartoffeln,5,Meat,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Quinoa Superfood-Salat mit Ziegenkäse und Pita (vegan ohne Käse),1,Veggie,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Gebratener Gemüse-Wok mit Tofu und Teriyakisauce (vegan),2,Veggie,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Gefüllte Melanzani mit Basilikum- Tomatensauce (vegan),3,Veggie,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Linsen-Gemüse-Eintopf mit Reis (vegan),4,Veggie,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Falafel-Teller mit Pita,5,Veggie,german,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Tandoori Chicken Masala with rice (gluten and lactose-free),1,Meat,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Tanned chicken breast with mushroom sauce and rice,2,Meat,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Thai Kokos Panang Chicken Curry with rice (gluten and lactose-free),3,Meat,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Butter chicken masala with rice (gluten and lactose-free),4,Meat,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Baked plaice fillet with parsley potatoes,5,Meat,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Quinoa superfood salad with goat cheese and pita (vegan without cheese),1,Veggie,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Fried vegetable wok with tofu and teriyakis sauce (vegan),2,Veggie,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Filled melanzani with basil tomato sauce (vegan),3,Veggie,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Linsen-vegetable stew with rice (vegan),4,Veggie,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
Falafel plate with pita,5,Veggie,english,Baschly,https://baschly.com/wpb/wp-content/uploads/2024/11/lunch-special-11-11-24.pdf,
"Klare Gemüsesuppe | Einlage A,C,G,L",1,Tagesuppe,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
laut Tagesaushang,1,Soup Deal,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Gemüse Rahmlinsen | Serviettenknödel A,C,G,L,M,O",1,Powered by plants 100% plant based or Veggie,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Naturschnitzel vom Schwein | Erbsenreis | Rahmsaftl G,L",1,Meaty,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Naturschnitzel vom Schwein | Erbsenreis | Rahmsaftl G,L",1,,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,1,Pizza & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
,1,Bowls & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G) wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis",1,Pasta & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Puten Gyros Pita | Tsatsiki | Tomaten,Gurken,Zwiebel,K raut | Wedges A,G,L",1,Global & Grill,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Gelbe Rübencremesuppe A,L",2,Tagesuppe,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Gelbe Rübencremesuppe A,L",2,Soup Deal,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Planted Paprikageschnetzeltes | Spätzle A,L",2,Powered by plants 100% plant based or Veggie,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Berliner Currywurst | hausgemachte Currysauce | Fries A,L,M,F",2,Meaty,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Berliner Currywurst | hausgemachte Currysauce | Fries A,L,M,F",2,,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,2,Pizza & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,2,Bowls & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G) wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis",2,Pasta & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Chili Beef Burrito | Bohnenreis | Cheddar Cheese Sauce | Dips | Tortilla Chips A,F,G,L,M",2,Global & Grill,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Klare Gemüsesuppe | Einlage A,C,G,L",3,Tagesuppe,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Klare Gemüsesuppe | Einlage A,C,G,L",3,Soup Deal,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Veganer Faschierter Braten | Kartoffelpüree | Jus | Röstzwiebel A,F,H,M,P",3,Powered by plants 100% plant based or Veggie,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Gebackenes Hühnerschnitzel | Petersilkartoffel A,C,G",3,Meaty,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Gebackenes Hühnerschnitzel | Petersilkartoffel A,C,G",3,,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,3,Pizza & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
,3,Bowls & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G) wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis",3,Pasta & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Bao Buns Pulled Pork oder Planted Pulled BBQ A,F,G",3,Global & Grill,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Gemüsecremesuppe A,L",4,Tagesuppe,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Gemüsecremesuppe A,L",4,Soup Deal,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
Gemüse-Erdäpfel-Gröstl | Kürbiskerne L,4,Powered by plants 100% plant based or Veggie,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Gegrillte Hühnerbrust | Prinzessbohnen | Reis | Saft A,L,O",4,Meaty,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Gegrillte Hühnerbrust | Prinzessbohnen | Reis | Saft A,L,O",4,,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,4,Pizza & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,4,Bowls & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G) wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis",4,Pasta & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Mensa Burger | Pommes Beef oder Planted 'Crispy Chicken style' A,G",4,Global & Grill,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Klare Gemüsesuppe | Einlage A,C,G,L",5,Tagesuppe,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Klare Gemüsesuppe | Einlage A,C,G,L",5,Soup Deal,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Kichererbsen-Gemüse Curry | Bulgur A,F,L",5,Powered by plants 100% plant based or Veggie,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Gebackener Seelachs | Petersil-Erdäpfel | Sc. Tartare A,C,D,G,M",5,Meaty,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Gebackener Seelachs | Petersil-Erdäpfel | Sc. Tartare A,C,D,G,M",5,,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,5,Pizza & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,5,Bowls & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G) wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis",5,Pasta & Co,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
Food Waste Day,5,Global & Grill,german,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Clear vegetable soup |Inlay A, C, G, L",1,Tagesuppe,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
According to the daylike,1,Soup Deal,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Vegetables cream lenses |Napkin dumplings A, C, G, L, M, O",1,Powered by plants 100% plant based or Veggie,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Natural schnitzel from pig |Pea rice |Rahmsaftl G, L",1,Meaty,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Natural schnitzel from pig |Pea rice |Rahmsaftl G, L",1,,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,1,Pizza & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
,1,Bowls & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Homemade pasta (a) homemade gnocchi (a, c, g) optionally tomato sauce or pesto cattle bolognese surcharge",1,Pasta & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Turkey gyros pita |Tsatsiki |Tomatoes, cucumbers, onion, K Raut |Wedges A, G, L",1,Global & Grill,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Yellow beet creams soup a, l",2,Tagesuppe,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Yellow beet creams soup a, l",2,Soup Deal,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Planted paprika scienceSpaetzle A, L",2,Powered by plants 100% plant based or Veggie,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Berlin currywurst |homemade curry sauce |Fries a, l, m, f",2,Meaty,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Berlin currywurst |homemade curry sauce |Fries a, l, m, f",2,,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,2,Pizza & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,2,Bowls & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Homemade pasta (a) homemade gnocchi (a, c, g) optionally tomato sauce or pesto cattle bolognese surcharge",2,Pasta & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Chili Beef Burrito |Bean rice |Cheddar cheese sauce |Dips |Tortilla chips a, f, g, l, m",2,Global & Grill,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Clear vegetable soup |Inlay A, C, G, L",3,Tagesuppe,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Clear vegetable soup |Inlay A, C, G, L",3,Soup Deal,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Vegan fascinated roast |Potato puree |Jus |Röst onweed A, F, H, M, P",3,Powered by plants 100% plant based or Veggie,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Baked chicken schnitzel |Petersil potato A, C, G",3,Meaty,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Baked chicken schnitzel |Petersil potato A, C, G",3,,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,3,Pizza & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
,3,Bowls & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Homemade pasta (a) homemade gnocchi (a, c, g) optionally tomato sauce or pesto cattle bolognese surcharge",3,Pasta & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Bao Buns Pulled Pork or Planted Pulled BBQ A, F, G",3,Global & Grill,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Vegetable cream soup a, l",4,Tagesuppe,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Vegetable cream soup a, l",4,Soup Deal,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
Vegetable peculiarities gross |Pumpkin seeds L,4,Powered by plants 100% plant based or Veggie,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Grilled chicken breast |Princess beans |Rice |Juice a, l, o",4,Meaty,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Grilled chicken breast |Princess beans |Rice |Juice a, l, o",4,,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,4,Pizza & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,4,Bowls & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Homemade pasta (a) homemade gnocchi (a, c, g) optionally tomato sauce or pesto cattle bolognese surcharge",4,Pasta & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Cafeteria burger |French fries beef or planted 'crispy chicken style' a, g",4,Global & Grill,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Clear vegetable soup |Inlay A, C, G, L",5,Tagesuppe,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Clear vegetable soup |Inlay A, C, G, L",5,Soup Deal,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Chickpea vegetables curry |Bulgur a, f, l",5,Powered by plants 100% plant based or Veggie,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Baked salmon |Petersil Erdäpfel |Sc.Tartare A, C, D, G, M",5,Meaty,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Baked salmon |Petersil Erdäpfel |Sc.Tartare A, C, D, G, M",5,,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,5,Pizza & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
Pizza Margherita Pizza Speciale,5,Bowls & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Homemade pasta (a) homemade gnocchi (a, c, g) optionally tomato sauce or pesto cattle bolognese surcharge",5,Pasta & Co,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
Food Waste Day,5,Global & Grill,english,Mensa,https://www.wumensa.at/menuplan-deutsch,
"Bohnen-Käse-Burrito: gefüllt mit Reis, Bohnenmischung, Sauerrahm und Käse, dazu Tortillachips und Salsa",1,Veggie,german,Library,https://lia.coffee,10.00
"Bean-cheese burrito: filled with rice, beanmix, sour cream and cheese with a side of tortilla chips and salsa (A, G)VEGGIE€ 10,00",1,Veggie,english,Library,https://lia.coffee,10.00
"Carne-Asada-Burrito: gefüllt mit Rindfleisch, Reis, Bohnen, Käse, Guacamole, Zwiebeln und einer Beilage Tortillachips und Salsa",1,Meat,german,Library,https://lia.coffee,10.00
"Carne-Asada-Burrito: filled with beef, rice, beans, cheese, guacamole, onions and a side of tortilla chips and salsa (A, G)MEAT€ 10,00",1,Meat,english,Library,https://lia.coffee,10.00
Spinat-Ricotta-Lasagne mit gemischtem grünen Salat,2,Veggie,german,Library,https://lia.coffee,10.00
"Spinach-ricotta lasagne with mixed green salad (A, G)VEGGIE€ 10,00",2,Veggie,english,Library,https://lia.coffee,10.00
Klassische Bolognese-Lasagne mit gemischtem grünen Salat,2,Meat,german,Library,https://lia.coffee,10.00
"Classic bolognese lasagne with mixed green salad  (A, G)MEAT€ 10,00",2,Meat,english,Library,https://lia.coffee,10.00
"Tofu-Teriyaki-Bowl: geräucherter Tofu, Karotten, Rotkohl, gedünsteter Reis und Brokkoli",3,Veggie,german,Library,https://lia.coffee,10.00
"Tofu-teriyaki bowl: smoked tofu, carrots, red cabbage, steamed rice and broccoli(A, B, C, D, F, N)VEGGIE€ 10,00",3,Veggie,english,Library,https://lia.coffee,10.00
"Chicken-Teriyaki-Bowl: Hühnerfleisch, Karotten, Rotkohl, gedünsteter Reis und Brokkoli",3,Meat,german,Library,https://lia.coffee,10.00
"Chicken-teriyaki bowl: chicken, carrots, red cabbage, steamed rice and broccoli(A, B, C, D, F, N)MEAT€ 10,00",3,Meat,english,Library,https://lia.coffee,10.00
"Grünes Thai-Kokos-Curry mit Tofu, frischem Gemüse und gedämpftem Jasminreis, dazu Mango-Joghurt",4,Veggie,german,Library,https://lia.coffee,10.00
"Green-thai-coconut-curry with tofu, fresh vegetables and steamed jasmin rice with a side of mango youghurt (A, H, G)VEGGIE€ 10,00",4,Veggie,english,Library,https://lia.coffee,10.00
"Indisches Rindfleisch-Curry: gedünstete Karotten, frischer Jasminreis mit Naan-Brot und eine Beilage Mango-Joghurt",4,Meat,german,Library,https://lia.coffee,10.00
"Indian-beef-curry: steamed carrots, fresh jasmin rice with naan bread and a side of mango youghurt (A, G)MEAT€ 10,00",4,Meat,english,Library,https://lia.coffee,10.00
"Panierte vegetarische Frikadelle mit Sahnesauce, sautierten grünen Bohnen und Pommes Frites",5,Veggie,german,Library,https://lia.coffee,10.00
"Breaded vegetarian frikadelle with cream sauce, sauteed green beans and french fries (A, C, G)VEGGIE€ 10,00",5,Veggie,english,Library,https://lia.coffee,10.00
"Gebratene Fischfilets mit Pommes frites, Tartarsauce und sautierten grünen Bohnen",5,Meat,german,Library,https://lia.coffee,10.00
