foodtype,menu,language,location,day,source,price
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,1,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,2,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,3,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,4,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,5,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,1,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,2,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,3,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,4,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,5,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-apr-2025-kosher-2025-04-07.jpg,
Tagesuppe,"Klare Gemüsesuppe | Einlage A,C,G,L",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,laut Tagesaushang,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,"Spinat-Lasagne | leichte Knoblauch-Rahmsauce A,C,G,L",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Meaty,"Erdäpfel-Würstelgulasch | Gebäck (Schwein) A,M",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
,"Erdäpfel-Würstelgulasch | Gebäck (Schwein) A,M",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,Pizza Margherita Pizza Speciale,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
