foodtype,menu,language,location,day,source,price
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,1,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-jan-2025-04-22-kosher.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,2,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-jan-2025-04-22-kosher.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,3,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-jan-2025-04-22-kosher.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,4,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-jan-2025-04-22-kosher.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,5,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-jan-2025-04-22-kosher.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,1,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-jan-2025-04-22-kosher.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,2,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-jan-2025-04-22-kosher.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,3,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-jan-2025-04-22-kosher.jpg,
Meat,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,4,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-jan-2025-04-22-kosher.jpg,
Veggie,Baschly decided to upload an image-based menu this week. So please follow the link to your right if you want to access their menu.,english,Baschly,5,https://baschly.com/wpb/wp-content/uploads/2025/04/baschly-lunch-special-jan-2025-04-22-kosher.jpg,
Tagesuppe,Klare Gemüsesuppe | Einlage,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
,"A,C,G,L",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,laut Tagesaushang,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,Gratinierte Käsespätzle | Schnittlauch | Röstzwiebel,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
,"A,C,G,L",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Meaty,Hühnergeschnetzeltes mit,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
,"A,G,L",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
,"A,G,L",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,XXX,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
,"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G)",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Ravioli mit Spargelfülle (A,C,G)",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
,wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Global & Grill,"Sous vide Schweinsfilet | gebratene Bärlauch- Gnocchi | glacierte Karotten | Pfeffersauce A,C,G,O",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Tagesuppe,Spargelcremesuppe,german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
,"A,L",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,"A,L",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,Tortilla mit Gemüsefülle | Chilireis,german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
,"A,L",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Meaty,Penne | Schinken- Rahmsauce | Parmesan,german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
,"A,G,L",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
,"A,G,L",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,Pizza Margherita Pizza Speciale,german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,Pizza Margherita Pizza Speciale,german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
,"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G)",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Ravioli mit Spargelfülle (A,C,G)",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
,wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis,german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Global & Grill,"Gebratene Eiernudeln mit Gemüse | Tofu oder Putenfleisch | Teriyaki oder Süss-Sauer Sauce A,C,F,L,H,O",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Tagesuppe,Klare Gemüsesuppe | Einlage,german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
,"A,C,G,L",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,"A,C,G,L",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,,german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
,"G,L,O",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Meaty,Gebackenes Hühnerschnitzel | Petersilkartoffel,german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
,"A,C,G",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
,"A,C,G",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,XXX,german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,,german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
,"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G)",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Ravioli mit Spargelfülle (A,C,G)",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
,wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis,german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Global & Grill,"Bao Buns Pulled Pork oder Planted Pulled BBQ A,F,G",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
