foodtype,menu,language,location,day,source,price
Meat,Thai Kokos Chicken Curry  auf  Basmati-Reis ,german,Baschly,1,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Meat,Süßkartoffel Chicken Curry auf  Basmati-Reis ,german,Baschly,2,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Meat,Backhendl Salat mit Kürbis  Kern-Öl  ,german,Baschly,3,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Meat,Gemüse Wok mit Tempura  Chicken auf Basmati-Reis ,german,Baschly,4,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Meat,Indisches Beef Biriany    ,german,Baschly,5,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Veggie,Gebratener Gemüse Wok mit  Frühlingsrolle auf Basmati-Reis,german,Baschly,1,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Veggie,Penne Pomodorini mit  Parmesan,german,Baschly,2,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Veggie,Thai Red Veggie Curry auf  Basmati-Reis,german,Baschly,3,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Veggie,Linsen Spinat Curry auf  Basmati-Reis,german,Baschly,4,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Veggie,Baschly Falafel Teller mit Pita ,german,Baschly,5,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Meat,Thai coconut chicken curry on basmati rice,english,Baschly,1,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Meat,Sweet potato chicken curry on basmati rice,english,Baschly,2,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Meat,Baking lettuce with pumpkin seed oil,english,Baschly,3,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Meat,Vegetables wok with tempura chicken on basmati rice,english,Baschly,4,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Meat,Indian beef Biryani,english,Baschly,5,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Veggie,Fried vegetables wok with spring roll on Basmati rice,english,Baschly,1,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Veggie,Penne pomodorini with parmesan,english,Baschly,2,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Veggie,Thai red veggie curry on basmati rice,english,Baschly,3,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Veggie,Linsen spinach curry on basmati rice,english,Baschly,4,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Veggie,Baschly Falafel plate with pita,english,Baschly,5,https://baschly.com/wpb/wp-content/uploads/2024/07/lunch-new-new-new-1.7.24.pdf,
Tagesuppe,"Klare Gemüsesuppe | Einlage A,C,G,L",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,laut Tagesaushang,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,"Makkaroni-Käse-Auflauf | Tomatensauce (veggie) A,C,G,L",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Meaty,Gebratenes Hühnerfilet | Ratatouille | Reis L,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
,Gebratenes Hühnerfilet | Ratatouille | Reis L,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,Pizza Margherita Pizza Speciale,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,,german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G) wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis",german,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Tagesuppe,"Gemüsecremesuppe A,L",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,"Gemüsecremesuppe A,L",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,"Orientalische Bulgur- Gemüsepfanne A,E,L",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Meaty,"Semmelknödel A,C,G,L,M",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
,"Semmelknödel A,C,G,L,M",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,Pizza Margherita Pizza Speciale,german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,Pizza Margherita Pizza Speciale,german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G) wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Tagesuppe,"Klare Gemüsesuppe | Einlage A,C,G,L",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,"Klare Gemüsesuppe | Einlage A,C,G,L",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,"Zucchini- Kartoffelgulasch | Wachauer A,L",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Meaty,"Gebackenes Hühnerschnitzel | Petersilkartoffel A,C,G",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
,"Gebackenes Hühnerschnitzel | Petersilkartoffel A,C,G",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,Pizza Margherita Pizza Speciale,german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,Bowls & Co am Mittwoch geschlossen!,german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G) wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Tagesuppe,"Tomatensuppe A,L",german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,"Tomatensuppe A,L",german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,"Pasta con Pepperoncini | Knoblauch,Paprika- Sauce | Rucola A,L",german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Meaty,"Schinkenfleckerl | Schnittlauch (Schwein) A,L",german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
,"Schinkenfleckerl | Schnittlauch (Schwein) A,L",german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,Pizza Margherita Pizza Speciale,german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,Pizza Margherita Pizza Speciale,german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G) wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis",german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
